,Date,Tweets
0,2022-04-25 05:02:02+00:00,"BTC Famous Feed... Cryptocurrency Prices Today April 25: Bitcoin down, Polkadot slips most - Moneycontrol https://t.co/yIDcn48yQ0"
1,2022-04-25 05:02:02+00:00,"RT @KOVcrypt: 🎁CONCOURS 🎁
💎10 ApeCoin💎

Pour participer il faut juste fav ce tweet je tir au sort un d’entre vous

(abonne toi à moi pour q…"
2,2022-04-25 05:02:02+00:00,"XRP is getting ready to fly to the moon! #xrp #ripple #bitcoin #binance #altcoin

https://t.co/BsrsZCmsVS"
3,2022-04-25 05:02:02+00:00,"@AirdropStario a big project for a great future, this is going to be a great project of the century. I'm sure it will be successful with everyone who supports this project.

#crypto #Airdrop #BSC #Bitcoin #USDT #MetaxLauncher #MTX #Airdropstario"
4,2022-04-25 05:02:02+00:00,@Asdnfts @Shima8095 #Bitcoin #Ethereum #BNB #ETH #BitcoinCrash #DOT #MANA #SHIB #XRP #DOGE #BABYDOGE #Saitama #ADA #SOL #FTM #MATIC #HERO #SAND #WHEX #Safemoon #AVAX #BTC #LOOKS #NFTS #MTV #FTM #Altcoins #APE #APECOIN #Cryptocrash #NEWINU #VRA #FLOKI  EBiF6ihtNquHmPuGgCULdJBKB5zXDPeAq6UQZH3UKF34
5,2022-04-25 05:02:02+00:00,"RT @ApeborgToken: #APEBORG #LIVE ON
 #UNISWAP 🤩🦍🚀
@ApeborgToken

#Ethereum #ETH #Bitcoin #Binance #BTC #BNB #BSC #dogecoin #doge #SHIBARMY…"
6,2022-04-25 05:02:01+00:00,"RT @ApeborgToken: #APEBORG #LIVE ON
 #UNISWAP 🤩🦍🚀
@ApeborgToken

#Ethereum #ETH #Bitcoin #Binance #BTC #BNB #BSC #dogecoin #doge #SHIBARMY…"
7,2022-04-25 05:02:01+00:00,@947 @McDonalds_SA So many Bitcoin traders on Twitter are trickster @JonathanHele thank you for opening my eyes to their ways now I’m pretty sure I’ll be able to help others
8,2022-04-25 05:02:01+00:00,"@NewtonBwambale CONGRATULATIONS !! You just won $500 worth of bitcoin for being part of the bundle Family . To redeem your giveaway kindly login to 👇

https://t.co/i5bQIUY6KL

Congratulations 🎉"
9,2022-04-25 05:02:01+00:00,Why Bitcoin (BTC) Is Trading Below Key Levels - Benzinga . Bitcoin and Ethereum traded below key psychological levels on Sunday evening as the global cryptocurrency market cap fell 1.1% to $1.82 trillion.
