Date,Tweets
2022-04-21 20:59:59+00:00,@PegasusLighty Just that i lost my metamask eth with trust wallet browser seed phrase i need help with my metamask lost funds metamask hacked account trust wallet hacked account uniswap not swapping pancakeswap wallet connect coinbase hacked account binance hacked account lost bitcoin wallet
2022-04-21 20:59:59+00:00,"Great #btc #bitcoin ! tank you for free coins ! #eth #ethereum 
https://t.co/HyCqXuzNGl"
2022-04-21 20:59:59+00:00,"RT @WClementeIII: Despite the Nasdaq being down 18% from its peak, a record high 64% of Bitcoin supply hasn't moved in at least a year. 

B…"
2022-04-21 20:59:58+00:00,"We just know will moon #crypto #binance #cryptocurrency #bitcoin #btc

https://t.co/tx2eRF4HFr"
2022-04-21 20:59:58+00:00,"RT @ChappieCrypt0: #NFTGiveaways 👀

Prizes :
🏆 1 kişi 15 $SOL 💵
🏆2 kişiye Bono #NFT 

❕ Rules :
1⃣ RT &amp; ❤️
2⃣ Follow @bona_parks &amp; @Chappie…"
2022-04-21 20:59:58+00:00,RT @WatcherGuru: JUST IN: 🇩🇪 German electronics chain Media Markt is set to roll out 12 #Bitcoin ATMs in Austria.
2022-04-21 20:59:58+00:00,@Lauren_lolly_ @DavenHundreds @96_TomL @ItsFleeceKing @_CrimsonK19 @johnhanke @PoKeGainnsss You are not interested in Bitcoin investment are you?
2022-04-21 20:59:58+00:00,"Fluffy0325 found #bitcoin in a User vault at this location! Join me playing #coinhuntworld, It's awesome! https://t.co/0UWaPOuVKI #cryptocurrency #111801 https://t.co/O0YVDZPKDr"
2022-04-21 20:59:57+00:00,"RT @CryptoPunks88: $12000 in #Bitcoin among the first 3000 people who follow and retweet! 

Drop your wallets https://t.co/4AqAOGxTOt"
2022-04-21 20:59:57+00:00,@gator_bitcoin what's your thoughts on how low can we go?
2022-04-21 20:59:56+00:00,"RT @Donjuliozz: Will send 1 winner $110 in #Bitcoin 
If I can hit 110k on Twitter w/i 24hrs.

Only Retweet and Follow me. #LFG"
2022-04-21 20:59:56+00:00,"#btc is preparing for the biggest pump! #crypto #binance #altcoin #bitcoin #eth #ethereum

https://t.co/Jt0xXDFXh8"
2022-04-21 20:59:56+00:00,"RT @flozinbtc: $100 | GIVEAWAY IN 48 HRS 🦊

- Follow me + @mooxprotocol
- RT
- Tag a friend
-----------------------------------------
#good…"
2022-04-21 20:59:56+00:00,"YoBit AirDrop: Earn up to 4700 Fast Dollars daily: https://t.co/wCDsiaqbeU
#yobit #bnb #bitcoin"
2022-04-21 20:59:55+00:00,"RT @AirdropDet: 🔍 New #Airdrop: Sense4FIT

🏆 Total Airdrop Pool: 5,000 BUSD 

🔴 Start the airdrop bot https://t.co/c2AyxDqNYF

🔘 Do the tas…"
2022-04-21 20:59:55+00:00,"#btc is preparing for the biggest pump! #crypto #binance #altcoin #bitcoin #eth #ethereum

https://t.co/Zt2ndZgPcJ"
2022-04-21 20:59:55+00:00,"RT @DeSpencer_: The Universal Laws of Life | The Geoffrey West Series | Episode 1 (WiM144) https://t.co/WdKKOOCbJk

Very cool to see @sfisc…"
