Date,Tweets
2022-04-20 20:59:59+00:00,"Alien News #aliennews
MARYLAND PORSCHE DEALER NOW ACCEPTS BITCOIN PAYMENTS
https://t.co/shg6u9bi2T #nft #nftgame #playtoearn #opensea #openseanft #alien #aliens #aliensfootball #alienfootball #game #games #nftgame #nftgames  #nftpresale #presale
#btc #btcnews #bitcoin #porsche https://t.co/1nJJMufFS0"
2022-04-20 20:59:59+00:00,"@HisgraceG Please be careful! This guy is a scammer. DO NOT SEND HIM ANYTHING!!!! I HAVE LL OF THE DMS. Told me I won $10,000 in bitcoin never paid anything he’s a liar. Lied to my son about having an investment for his future…my autistic son!! He says a dumb quote, &amp; shows u blurred pics"
2022-04-20 20:59:59+00:00,🚀BITCOIN PUMP HOW TO SEE IT IN ADVANCE AND PROFIT  WAR ON THE 1 MINUTE C... https://t.co/ORmLKIaiMD via @YouTube
2022-04-20 20:59:58+00:00,"We just know #btc  will moon #crypto #binance #cryptocurrency #bitcoin #eth #ethereum

https://t.co/nUM8e2PspK"
2022-04-20 20:59:58+00:00,"RT @BITCOINMACADEMY: #Bitcoin has tested $43800-$44500 many times, and this could be where the bears step in and take us back down to $36K.…"
2022-04-20 20:59:58+00:00,"RT @airdropinspect: New airdrop: YouClout (YCT)
Total Reward: $5,000 worth of YCT
Rate: ⭐️⭐️⭐️⭐️⭐️
Winners: 1,000 Random &amp; Top 100
Distribu…"
2022-04-20 20:59:58+00:00,"RT @HelennaOlubunmi: When it comes to building a brand online, getting improved leads, or expanding your client
base. Our company has the a…"
2022-04-20 20:59:58+00:00,U.S. lobs fresh round of sanctions against bitcoin miner and others seen to be aiding Russia https://t.co/26QBU5ghMc
2022-04-20 20:59:57+00:00,RT @ashwsbreal: If i wake up to 440k followers on twitter i will give $440 #Bitcoin to one random follower. Just retweet and be following m…
2022-04-20 20:59:57+00:00,"RT @AirdropStario: 💧 PyramiDAO Airdrop 💧

🏆 Task:          ➕  Up to 100 PYRA (~$12)

👨‍👩‍👧 Referral:   ➕  10 PYRA (~$1.2) ➕ 1 Helmet NFT fo…"
2022-04-20 20:59:59+00:00,"Alien News #aliennews
MARYLAND PORSCHE DEALER NOW ACCEPTS BITCOIN PAYMENTS
https://t.co/shg6u9bi2T #nft #nftgame #playtoearn #opensea #openseanft #alien #aliens #aliensfootball #alienfootball #game #games #nftgame #nftgames  #nftpresale #presale
#btc #btcnews #bitcoin #porsche https://t.co/1nJJMufFS0"
2022-04-20 20:59:59+00:00,"@HisgraceG Please be careful! This guy is a scammer. DO NOT SEND HIM ANYTHING!!!! I HAVE LL OF THE DMS. Told me I won $10,000 in bitcoin never paid anything he’s a liar. Lied to my son about having an investment for his future…my autistic son!! He says a dumb quote, &amp; shows u blurred pics"
2022-04-20 20:59:59+00:00,🚀BITCOIN PUMP HOW TO SEE IT IN ADVANCE AND PROFIT  WAR ON THE 1 MINUTE C... https://t.co/ORmLKIaiMD via @YouTube
2022-04-20 20:59:58+00:00,"We just know #btc  will moon #crypto #binance #cryptocurrency #bitcoin #eth #ethereum

https://t.co/nUM8e2PspK"
2022-04-20 20:59:58+00:00,"RT @BITCOINMACADEMY: #Bitcoin has tested $43800-$44500 many times, and this could be where the bears step in and take us back down to $36K.…"
2022-04-20 20:59:58+00:00,"RT @airdropinspect: New airdrop: YouClout (YCT)
Total Reward: $5,000 worth of YCT
Rate: ⭐️⭐️⭐️⭐️⭐️
Winners: 1,000 Random &amp; Top 100
Distribu…"
2022-04-20 20:59:58+00:00,"RT @HelennaOlubunmi: When it comes to building a brand online, getting improved leads, or expanding your client
base. Our company has the a…"
